Rank,Title,Year,Runtime,Certificate,Rating,URL
The,Sting,1973,2h 9m,A,"8.2
 (303K)",https://www.imdb.com/title/tt0070735/?ref_=chttp_t_118
I,Swear,2025,2h,15,"8.4
 (51K)",https://www.imdb.com/title/tt31514146/?ref_=chttp_t_119
A,Clockwork Orange,1971,2h 16m,X,"8.2
 (938K)",https://www.imdb.com/title/tt0066921/?ref_=chttp_t_120
Metropolis,,1927,2h 30m,PG,"8.2
 (202K)",https://www.imdb.com/title/tt0017136/?ref_=chttp_t_121
1917,,2019,1h 59m,15,"8.2
 (776K)",https://www.imdb.com/title/tt8579674/?ref_=chttp_t_122
Snatch,,2000,1h 44m,18,"8.2
 (979K)",https://www.imdb.com/title/tt0208092/?ref_=chttp_t_123
Attack,on Titan: The Last Attack,2024,2h 25m,15,"9.0
 (32K)",https://www.imdb.com/title/tt33175825/?ref_=chttp_t_124
The,Wolf of Wall Street,2013,3h,18,"8.2
 (1.8M)",https://www.imdb.com/title/tt0993846/?ref_=chttp_t_125
The,Truman Show,1998,1h 43m,PG,"8.2
 (1.4M)",https://www.imdb.com/title/tt0120382/?ref_=chttp_t_126
Downfall,,2004,2h 36m,15,"8.2
 (401K)",https://www.imdb.com/title/tt0363163/?ref_=chttp_t_127
L.A.,Confidential,1997,2h 18m,18,"8.2
 (660K)",https://www.imdb.com/title/tt0119488/?ref_=chttp_t_128
Dangal,,2016,2h 41m,PG,"8.3
 (245K)",https://www.imdb.com/title/tt5074352/?ref_=chttp_t_129
Shutter,Island,2010,2h 18m,15,"8.2
 (1.7M)",https://www.imdb.com/title/tt1130884/?ref_=chttp_t_130
Green,Book,2018,2h 10m,12A,"8.2
 (692K)",https://www.imdb.com/title/tt6966692/?ref_=chttp_t_131
Bicycle,Thieves,1948,1h 29m,U,"8.2
 (192K)",https://www.imdb.com/title/tt0040522/?ref_=chttp_t_132
Oppenheimer,,2023,3h,15,"8.2
 (1.1M)",https://www.imdb.com/title/tt15398776/?ref_=chttp_t_133
Judgment,at Nuremberg,1961,2h 59m,A,"8.3
 (97K)",https://www.imdb.com/title/tt0055031/?ref_=chttp_t_134
